report_date,weighted_average
2019-05-28,307.11
2019-05-24,
2019-05-23,309.39
2019-05-22,
2019-05-21,
2019-05-20,313.74
2019-05-17,323.87
2019-05-16,322.76
2019-05-15,325.42
2019-05-14,332.52
2019-05-13,
2019-05-10,
2019-05-09,325.00
2019-05-08,353.24
2019-05-07,
2019-05-06,
2019-05-03,335.00
2019-05-02,338.99
2019-05-01,349.83
2019-04-30,
2019-04-29,345.00
2019-04-26,352.61
2019-04-25,
2019-04-24,354.69
2019-04-23,359.29
2019-04-22,345.00
2019-04-19,355.90
2019-04-18,
2019-04-17,345.48
2019-04-16,355.33
2019-04-15,348.10
2019-04-12,356.80
2019-04-11,
2019-04-10,359.25
2019-04-09,
2019-04-08,
2019-04-05,
2019-04-04,345.00
2019-04-03,346.23
2019-04-02,365.27
2019-04-01,
2019-03-29,
2019-03-28,
2019-03-27,326.67
2019-03-26,
2019-03-25,
2019-03-22,
2019-03-21,349.18
2019-03-20,362.29
2019-03-19,
2019-03-18,349.72
2019-03-15,346.89
2019-03-14,
2019-03-13,350.56
2019-03-12,
2019-03-11,
2019-03-08,
2019-03-07,
2019-03-06,353.64
2019-03-05,
2019-03-04,354.02
2019-03-01,
2019-02-28,
2019-02-27,360.06
2019-02-26,331.44
2019-02-25,
2019-02-22,
2019-02-21,
2019-02-20,354.81
2019-02-19,
2019-02-18,
2019-02-15,358.66
2019-02-14,
2019-02-13,342.92
2019-02-12,341.88
2019-02-11,346.01
2019-02-08,347.54
2019-02-07,
2019-02-06,343.60
2019-02-05,
2019-02-04,
2019-02-01,
2019-01-31,339.68
2019-01-30,349.31
2019-01-29,
2019-01-28,
2019-01-25,360.85
2019-01-24,338.54
2019-01-23,348.41
2019-01-22,360.91
2019-01-21,343.77
2019-01-18,
2019-01-17,335.00
2019-01-16,330.29
2019-01-15,330.61
2019-01-14,330.14
2019-01-11,343.15
2019-01-10,330.00
2019-01-09,327.17
2019-01-08,332.50
2019-01-07,
2019-01-04,335.00
2019-01-03,
2019-01-02,343.63
2018-12-31,325.38
2018-12-28,
2018-12-27,340.39
2018-12-26,334.48
2018-12-21,
2018-12-20,
2018-12-19,338.92
2018-12-18,
2018-12-17,
2018-12-14,326.21
2018-12-13,
2018-12-12,332.56
2018-12-11,331.75
2018-12-10,
2018-12-07,
2018-12-06,
2018-12-05,319.54
2018-12-04,324.68
2018-12-03,310.00
2018-11-30,
2018-11-29,
2018-11-28,317.15
2018-11-27,
2018-11-26,305.56
2018-11-23,
2018-11-21,318.43
2018-11-20,
2018-11-19,
2018-11-16,294.84
2018-11-15,
2018-11-14,294.10
2018-11-13,
2018-11-12,
2018-11-09,
2018-11-08,302.18
2018-11-07,295.59
2018-11-06,
2018-11-05,280.42
2018-11-02,
2018-11-01,
2018-10-31,287.06
2018-10-30,284.26
2018-10-29,
2018-10-26,
2018-10-25,258.18
2018-10-24,267.66
2018-10-23,256.09
2018-10-22,260.00
2018-10-19,
2018-10-18,
2018-10-17,248.71
2018-10-16,
2018-10-15,
2018-10-12,267.07
2018-10-11,240.03
2018-10-10,267.65
2018-10-09,
2018-10-08,250.49
2018-10-05,261.66
2018-10-04,248.76
2018-10-03,263.11
2018-10-02,
2018-10-01,
2018-09-28,
2018-09-27,
2018-09-26,249.56
2018-09-25,255.40
2018-09-24,266.32
2018-09-21,
2018-09-20,259.92
2018-09-19,283.25
2018-09-18,272.11
2018-09-17,269.35
2018-09-14,266.41
2018-09-13,
2018-09-12,275.20
2018-09-11,267.56
2018-09-10,276.00
2018-09-07,287.42
2018-09-06,278.00
2018-09-05,273.01
2018-09-04,
2018-08-31,
2018-08-30,282.55
2018-08-29,297.73
2018-08-28,
2018-08-27,294.83
2018-08-24,293.48
2018-08-23,295.70
2018-08-22,302.04
2018-08-21,
2018-08-20,
2018-08-17,294.82
2018-08-16,
2018-08-15,309.63
2018-08-14,305.49
2018-08-13,295.73
2018-08-10,306.72
2018-08-09,307.02
2018-08-08,315.21
2018-08-07,
2018-08-06,312.25
2018-08-03,
2018-08-02,
2018-08-01,336.05
2018-07-31,309.49
2018-07-30,324.88
2018-07-27,318.56
2018-07-26,322.96
2018-07-25,335.41
2018-07-24,
2018-07-23,330.44
2018-07-20,
2018-07-19,320.58
2018-07-18,334.91
2018-07-17,343.58
2018-07-16,
2018-07-13,
2018-07-12,337.85
2018-07-11,328.89
2018-07-10,339.76
2018-07-09,348.18
2018-07-06,352.39
2018-07-05,326.72
2018-07-03,348.67
2018-07-03,348.67
2018-07-02,348.95
2018-06-29,351.21
2018-06-28,352.31
2018-06-27,358.91
2018-06-26,337.85
2018-06-25,356.27
2018-06-22,
2018-06-21,355.07
2018-06-20,350.55
2018-06-19,
2018-06-18,352.93
2018-06-15,350.08
2018-06-14,
2018-06-13,363.65
2018-06-12,
2018-06-11,350.49
2018-06-08,347.95
2018-06-07,348.46
2018-06-06,351.54
2018-06-05,349.09
2018-06-04,346.32
2018-06-01,339.83
2018-05-31,335.25
2018-05-30,346.75
2018-05-29,349.75
2018-05-25,322.67
2018-05-24,321.30
2018-05-23,359.96
2018-05-22,349.12
2018-05-21,
2018-05-18,
2018-05-17,
2018-05-16,352.07
2018-05-15,
2018-05-14,350.14
2018-05-11,339.71
2018-05-10,341.44
2018-05-09,339.15
2018-05-08,
2018-05-07,330.25
2018-05-04,326.34
2018-05-03,
2018-05-02,336.65
2018-05-01,336.55
2018-04-30,330.91
2018-04-27,311.07
2018-04-26,328.57
2018-04-25,330.74
2018-04-24,
2018-04-23,320.85
2018-04-20,307.25
2018-04-19,311.45
2018-04-18,324.17
2018-04-17,320.93
2018-04-16,321.62
2018-04-13,323.85
2018-04-12,320.82
2018-04-11,329.58
2018-04-10,330.67
2018-04-09,330.00
2018-04-06,309.05
2018-04-05,330.00
2018-04-04,331.47
2018-04-03,
2018-04-02,337.06
2018-03-30,331.44
2018-03-29,336.70
2018-03-28,337.61
2018-03-27,345.53
2018-03-26,331.77
2018-03-23,333.76
2018-03-22,
2018-03-21,331.45
2018-03-20,336.83
2018-03-19,329.94
2018-03-16,331.28
2018-03-15,332.82
2018-03-14,332.20
2018-03-13,333.84
2018-03-12,322.66
2018-03-09,
2018-03-08,334.29
2018-03-07,335.19
2018-03-06,
2018-03-05,335.00
2018-03-02,333.46
2018-03-01,326.83
2018-02-28,323.22
2018-02-27,320.90
2018-02-26,342.27
2018-02-23,332.08
2018-02-22,333.53
2018-02-21,325.19
2018-02-20,323.96
