report_date,total_pounds
2019-01-04,116040
2019-01-03,119540
2019-01-02,127413
2018-12-31,306982
2018-12-28,100548
2018-12-27,225308
2018-12-26,172990
2018-12-21,58241
2018-12-20,106101
2018-12-19,68962
2018-12-18,267899
2018-12-17,60518
2018-12-14,160259
2018-12-13,84972
2018-12-12,235043
2018-12-11,116689
2018-12-10,46009
2018-12-07,59456
2018-12-06,112936
2018-12-05,41239
2018-12-04,188014
2018-12-03,6897
2018-11-30,6337
2018-11-29,125676
2018-11-28,74688
2018-11-27,400958
2018-11-26,6580
2018-11-23,20125
2018-11-21,189456
2018-11-20,105679
2018-11-19,72284
2018-11-16,20244
2018-11-15,155388
2018-11-14,70384
2018-11-13,38309
2018-11-12,11455
2018-11-09,155497
2018-11-08,46154
2018-11-07,56682
2018-11-06,4080
2018-11-05,24619
2018-11-02,114221
2018-11-01,122403
2018-10-31,94551
2018-10-30,14245
2018-10-29,21147
2018-10-26,63148
2018-10-25,151374
2018-10-24,83912
2018-10-23,7496
2018-10-22,16471
2018-10-19,42167
2018-10-18,42400
2018-10-17,107949
2018-10-16,8769
2018-10-15,68429
2018-10-12,45942
2018-10-11,13649
2018-10-10,79621
2018-10-09,66603
2018-10-08,20351
2018-10-05,75089
2018-10-04,88405
2018-10-03,94762
2018-10-02,19232
2018-10-01,9910
2018-09-28,34942
2018-09-27,61139
2018-09-26,64784
2018-09-25,21056
2018-09-24,56547
2018-09-21,28211
2018-09-20,98846
2018-09-19,154693
2018-09-18,185471
2018-09-17,53911
2018-09-14,221435
2018-09-13,154526
2018-09-12,75689
2018-09-11,79438
2018-09-10,25612
2018-09-07,83527
2018-09-06,295054
2018-09-05,97586
2018-09-04,109091
2018-08-31,11508
2018-08-30,21762
2018-08-29,89790
2018-08-28,37823
2018-08-27,52018
2018-08-24,70818
2018-08-23,44748
2018-08-22,125729
2018-08-21,122567
2018-08-20,29965
2018-08-17,56502
2018-08-16,35035
2018-08-15,71375
2018-08-14,30629
2018-08-13,31307
2018-08-10,137014
2018-08-09,70927
2018-08-08,222841
2018-08-07,155121
2018-08-06,27315
2018-08-03,49370
2018-08-02,18846
2018-08-01,289742
2018-07-31,74499
2018-07-30,20644
2018-07-27,60722
2018-07-26,36843
2018-07-25,271368
2018-07-24,149961
2018-07-23,76143
2018-07-20,22668
2018-07-19,61322
2018-07-18,287398
2018-07-17,195937
2018-07-16,231031
2018-07-13,54042
2018-07-12,125643
2018-07-11,50181
2018-07-10,142115
